leg_group_id,fare_leg_name,network_id,from_area_id,contains_area_id,to_area_id,is_symmetrical,from_timeframe_id,to_timeframe_id,min_distance,max_distance,distance_type,service_id,min_amount,max_amount,fare_product_id,fare_container_id,rider_category_id,eligible_cap_id,amount,currency
sdmts,,,,,,,,,,,,,,,regional_monthly_discount,pronto_digital,disabled,,,
sdmts,,,,,,,,,,,,,,,regional_monthly_premium,pronto_digital,,,,
sdmts,,,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,senior,,,
sdmts,,,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,medicare,,,
sdmts,,,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,disabled,,,
sdmts,,,,,,,,,,,,,,,college_monthly,pronto_digital,college,,,
sdmts,,,,,,,,,,,,,,,college_semester,pronto_digital,college,,,
sdmts,,,,,,,,,,,,,,,college_upass,pronto_digital,college,,,
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,regional_monthly_premium,pronto_digital,,,,
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,senior,,,
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,medicare,,,
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,disabled,,,
sdmts,,RURAL,,,,,,,,,,,,,regional_monthly_premium,pronto_digital,,,,
sdmts,,RURAL,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,senior,,,
sdmts,,RURAL,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,medicare,,,
sdmts,,RURAL,,,,,,,,,,,,,regional_monthly_premium_discount,pronto_digital,disabled,,,
sdmts,,,,,,,,,,,,,,,,,children,,0,USD
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,,,children,,0,USD
sdmts,,RURAL,,,,,,,,,,,,,,,children,,0,USD
sdmts,,,,,,,,,,,,,,,,pronto_physical,youth,,0,USD
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,,pronto_physical,youth,,0,USD
sdmts,,RURAL,,,,,,,,,,,,,,pronto_physical,youth,,0,USD
sdmts,,,,,,,,,,,,,,,,pronto_digital,youth,,0,USD
sdmts,,RAPID_EXPRESS_PREMIUM,,,,,,,,,,,,,,pronto_digital,youth,,0,USD
sdmts,,RURAL,,,,,,,,,,,,,,pronto_digital,youth,,0,USD
